epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8001,1.69899,1.62277,1.33463,0,0,0,0,1.47556,4.76024,1.40249,0.067541,0.000327869,0.000327869
2,97.1239,1.60172,1.06075,1.30019,0.58475,0.94521,0.90169,0.54569,1.44971,2.34628,1.33338,0.0345408,0.000661041,0.000661041
3,137.397,1.53289,0.93991,1.28178,0.90186,0.9726,0.97868,0.53974,1.48154,0.84243,1.37331,0.00154001,0.000993564,0.000993564
4,183.03,1.56273,0.91824,1.2847,0.86491,0.86301,0.89993,0.44859,1.61723,0.94276,1.42107,0.000997803,0.000997803,0.000997803
5,222.634,1.51615,0.89043,1.27136,0.92956,0.90381,0.95857,0.53452,1.46977,0.84536,1.34222,0.000996097,0.000996097,0.000996097
6,267.819,1.50558,0.85773,1.24807,0.91394,0.96575,0.98112,0.55754,1.46537,0.7119,1.35726,0.000993906,0.000993906,0.000993906
7,311.465,1.48311,0.84229,1.24012,0.93501,0.93836,0.98495,0.56997,1.42173,0.73015,1.29392,0.000991232,0.000991232,0.000991232
8,350.912,1.48136,0.80413,1.24655,0.93115,0.92635,0.98281,0.56586,1.46559,0.72753,1.33145,0.000988079,0.000988079,0.000988079
9,391.135,1.47764,0.82387,1.24033,0.93245,0.9454,0.96086,0.54166,1.50879,0.69555,1.33534,0.000984449,0.000984449,0.000984449
10,434.454,1.4635,0.80075,1.22169,0.9209,0.91781,0.96418,0.57041,1.44101,0.74375,1.30726,0.000980345,0.000980345,0.000980345
11,474.284,1.46681,0.78131,1.2317,0.93602,0.94521,0.9808,0.58755,1.39981,0.69132,1.29617,0.000975773,0.000975773,0.000975773
12,513.44,1.43634,0.77395,1.21369,0.95636,0.9006,0.97705,0.57559,1.43297,0.69877,1.32428,0.000970736,0.000970736,0.000970736
