epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5124,1.92988,4.26165,1.50554,0.97334,0.90411,0.98298,0.54607,1.54622,0.78065,1.38451,0.067541,0.000327869,0.000327869
2,71.1479,1.57886,0.93373,1.29811,0.92411,0.91781,0.96398,0.5544,1.41928,0.80499,1.34249,0.0345408,0.000661041,0.000661041
3,99.405,1.5297,1.05003,1.27425,0.89107,0.89726,0.95309,0.51771,1.53055,1.02123,1.47228,0.00154001,0.000993564,0.000993564
4,127.755,1.50877,0.87226,1.27775,0.90176,0.94305,0.94376,0.53933,1.43921,0.70862,1.32609,0.000997803,0.000997803,0.000997803
5,155.829,1.5014,0.8753,1.25009,0.91972,0.96575,0.98324,0.56473,1.467,0.71787,1.34726,0.000996097,0.000996097,0.000996097
6,183.976,1.48111,0.86346,1.25368,0.91001,0.90042,0.95093,0.54762,1.43803,0.76163,1.32476,0.000993906,0.000993906,0.000993906
7,212.04,1.46732,0.79511,1.23011,0.88816,0.95205,0.97216,0.55751,1.43286,0.67316,1.32378,0.000991232,0.000991232,0.000991232
8,240.203,1.47755,0.85491,1.2565,0.88361,0.93836,0.95902,0.54616,1.41934,0.73816,1.29202,0.000988079,0.000988079,0.000988079
9,268.673,1.44531,0.82654,1.21802,0.92673,0.94521,0.97898,0.57987,1.40063,0.70317,1.27996,0.000984449,0.000984449,0.000984449
10,297.288,1.45702,0.81248,1.23924,0.90439,0.97179,0.97422,0.55362,1.41358,0.67333,1.31824,0.000980345,0.000980345,0.000980345
11,325.971,1.46046,0.80883,1.23581,0.9266,0.9589,0.98101,0.57225,1.40394,0.70295,1.28473,0.000975773,0.000975773,0.000975773
12,354.012,1.43163,0.74197,1.21781,0.94695,0.95205,0.98385,0.57842,1.40579,0.62791,1.32296,0.000970736,0.000970736,0.000970736
13,382.142,1.4477,0.72609,1.23999,0.93358,0.96575,0.98468,0.58481,1.38818,0.60885,1.28524,0.000965239,0.000965239,0.000965239
